id	document	label
54	콜라 환타 김이 다 빠져서 왔네요	0
55	배달기사분이 천천하시네요	0
56	이번에도 맛있게 잘먹었습니다 ㅎㅎ	1
57	맛있습니다! 배달도 빠르고.	0
58	역시 갓성비 반올림 ~~~~!!!  맛나게 먹구 있어요	1
59	식어와 실망했는데, 오늘따라 양념 왜케 맛나나요?? :)  양념 최고입니다 ㅎㅎ	0
60	후라이드는 바삭바삭하고 양념은 새콤달콤해서 아이들이 후라이드보다 양념을 더 잘먹었어요. 양념양도 많고 밥을 비벼먹기도하고 푸짐하게 저녁한끼 먹었어요. 감자튀김도 맛있게 잘먹었습니다.	1
61	감자탕집인데 감자탕은정말맛없고 제육은먹을만합니다.	0
62	잘받앗네요 조금맵긴하네요	0
63	맛있게 잘먹었어요^^	0
64	돈까스 소스를 안주셨어요ㅠㅠ 음식은 역시 맛있구 양도 많네요! 배달비가 부담스러워서 별하나 뺐어요	0
65	맛있게 잘 먹었어요~ 개꿀맛~ 곱빼기 추가했는데 적용이 안되었네요~ 사장님께서 친절하게 다음번에 꼭 적용해준다고 하셨어요~ 다음주에 주문할께요~	0
66	자주시켜먹는식당이에여	0
67	늘 맛있게 잘먹었습니다	0
68	살짝 짜긴한데 맛있습니다 굳굳굳 혹시 순살은 소이갈릭 이거 시키먼 비슷한 맛일까요?	1
69	항상 잘먹고있어요~~	0
70	맛은 정말정말 맛있고 배달도 시간 맞춰서 오고 피자 양도 넉넉하다 느껴서 자주 시켜먹는데 5000원 추가해서 엣지를 스위트골드로 추가했는데 일반 도우가 와서 많이 속상했습니다ㅜㅜ 전화 하니 다시 해주시겠다고 하셨는데 이미 1시간 기다려서 도착한 피자에 시간이 11시가 다 되어가는 시간이라 그냥 5000원 받고 먹겠다고 했는데 너무 아쉽네요,, 다음부터는 잘 확인해주셨면 좋겠습니다!! 주문 누락 빼고는 다 좋았어요~!	1
71	말해뭐해요 서비스 맛 다만점입니다!!!!벌써 다섯번째 주문입니다  잘먹었어요 앞으로보쌈은계속 여기고정이예요	1
72	마싯씁니다어 마니먹었습니더	0
73	탕추육? 색다르네요. 탕수육 지겨울때 괜찮을듯 그런데 배달시에는 소스따로 포장 가능할까요? 부먹파인 저도 눅눅함 때문에 좀 아쉽네요ㅜㅜ 소스따로 포장시 용기값 추가 넣으시더라도 따로 포장좀ㅜㅜ	0
74	너무 맛있어요~~다음에도 또 시켜먹을께요!	0
75	언제나처럼 맛있었어요 ㅎㅎㅎ 주문하고 40분 정도 후에 왔고 맛도 한결 같습니다	0
76	역시 후라이드는 후참	0
77	맛있어요~~~~~~~	0
78	아이스크림통이 벌써 크리스마스군요 ㅋ	0
79	꾸준히 이용하고 잇음	0
80	평소 잘 먹다가 색다른거를 먹고싶어서 시켰는데 냄새 좀 많이 나구요 엄청 느끼합니다	0
81	김밥 양많고 맛있네요~~~	0
82	역시 매운간장이 짱 근데 배달오시분 되게 부담스러웠네요 대행이겠지만 음식만 손으로 뻗어주면 되는데 저희 집안으로 몸은 반쯤 내밀고 저를 뚫어져라 쳐다보더라고요	0
83	배송빠르고 맛도좋아요	0
84	맛나게 잘 먹었습니다~ 특히 피자가 맛나네요  스파게티는 소스가 조금 부족한듯 싶어요	1
85	양 넘나 많아서 잘먹었습니다 양념도 존맛입니다 ㅠㅜ 딱 하나 아쉬운건 심하진 않지만 닭냄새쪼금만 더 빼면 좋을거같아요 두번세번 나눠서 그때마다 끓이는데 끓일수록 닭냄새는 안나긴해요 아 그리고 감자도 개존맛입니다^^	0
86	급하게 먹느라 사진을 못찍은ㅜㅜ 족발대신 보쌈이 땡겨서 시켰는데 맛나게 잘 먹었습니다!!	1
87	거짓말 조금 더 보태서, 주문 완료 카톡보다 빨리 옴	0
88	양이 푸짐하네요 맛도 괜챃은데 삼겹살팽이버섯말이는 먹는것마다 오돌뼈가 씹혀서 먹기 불편했어요 어떤양꼬치는 숯불에 구어서 인지  검은색 숯불이 묻어서 먹지도 못하고 양꼬치에서느 양꼬치 냄새 아닌 다른냄새도 납니다 신경써주셧으면 좋겠어요	0
89	반반으로 먹었습니다 매운맛이 생각보다 매워서 좋네요 일반족발도 부드럽고 맛있었습니다 근처 사는 직장동료 추천으로 먹은건데 그건물에 있는 음식점은 다 맛집이네요ㅎㅎ	1
90	사장님!! 진심 정말  맛있게 잘 먹었습니다^^ 디디치킨 맛있다는 지인 얘기 듣고 어제 주문해봤는데..왜 이제 알았나 싶을 정도였습니다!!!  저희 부부가 많이 먹는 편이 아니라 치킨 시키면 늘 조금씩 남기는데.. 치킨 양이 무척 넉넉했는데도 하나도 안 남기고 다 먹었습니다~  사장님~ 정말 치킨 최고최고입니다!!!!^^ 번창하십시오♡♡♡	0
91	김밥과 라볶이 맛나네요	0
92	너무맛나네요또시키게읍니다	0
93	맛있었어요! 역시 햄버거는 파파이스	1
94	맛있어요 포장도 잘되있고 따뜻하고 좋아요	0
95	빠른배달  정넝스런 포장 맛나게 잘먹었습니다	0
96	안왔는데 리뷰르뇨 ㅜㅜ	0
97	너무 맛있어요~	0
98	넘맛있게잘먹었어요!!오자마자바로폭풍흡입~^^	0
99	리뷰보고 맛있다해서 주문해봤는데 진짜 맛있네여~ 껍질부분이 많다해서 걱정했는데 껍질싫어하는 1인으로써 물컹거림없이 넘 쫀득하니 잡내없이 맛있고 매족 진심 맛있네여^^ 양념이 그냥 매콤한맛만있는게 아니여서 너무좋았습니다~ 막국수도 면뿌른거없이 맛있게 잘먹었네여~ 족발은 화정찜콩입니다~^^	1
100	잘 먹겠습니다. 고맙습니다.	0
101	배달 딱맞춰옴👍 사진은 못찍었지만 비빔국수 비쥬얼은 좋았음👍 근데 새콤하고 참기름 향나는 맛인줄 알았는데 짜고 매웠음.. 양 진짜 많았는데 갠취는 아니어서 3분의 1정도 먹은것 같음 아까워서 일단 보내준 면수 조금 남은거랑 용기에 담아서 냉장고에 넣었음 김밥은 밥이 좀 오래됬는지 약간 딱딱한? 식감이였고 엄청 맛있다고는 못느낌 돈김 기대했는데ㅠ 진짜 김, 밥, 돈가스.. 딱 3가지 재료만 들어가있었고 비빔국수 간 죽이는 용도로 몇개 먹음ㅠ 최소금액 맞춰야해서 어쩔수없이 열혈김밥산거였는데 이것이 그나마 신의 한수였음..	0
102	굿입니다!!!!!!!	0
103	당신이 전화기를 들어 미스터 보쌈에 주문하는 순간. 야들야들한 고기와 맛깔나는 무김치와 함께 조지면 환상의 세계로 갈 수 있다. 그리고 먹다가 무김치가 약간 물린다 싶을 때 함께 오는 백김치를 먹으면 당신은 현실로 돌아오지 못할 것이다. 놀0같은 보쌈의 양과 두께에 지친 당신 당장 여기로 전화해서 광명 찾길 바랍니다.. ㄹㅇ리뷰 이벤트 참여 아니고 걍 너무 맛있어서 쓰는거임. ㄹㅇ 진짜 음료수 안 받음. 한번 믿어보셈 여기 진짜 맛있음🤙	1
104	맛있게 잘 먹었어요~ 개꿀맛~ 곱빼기 추가했는데 적용이 안되었네요~ 사장님께서 친절하게 다음번에 꼭 적용해준다고 하셨어요~ 다음주에 주문할께요~	0
105	너무맛있다.. 또 시켜먹음 이건	0
106	명불허전 너무 맛있고 양도 푸짐해요!! 한국식 짜장면인줄 알고 시켰는데 중국식이더라고요! 메뉴에 중국식 짜장면인걸 적어주시면 좋을 것 같아요~	0
107	나는개인적으로 까탈스러운사람임. 파파이스에서 가장 맛있는건 비스켓.. k사랑 비교가 안됌.. 베이킹하는사람이라 직접 만들어보고 믹스로도 해보고 별짓다해봐도 파파이스비스켓 맛이 안남..그래서 파파이스가 사라질까봐 너무걱정됌... 감튀도 너무 맛있음..   나는 치킨도 롯데리아 케엡씨 다 안먹음..  기름에불어 떨어지는 튀김옷이 느끼해서 못먹음 근데 파파이스는 튀김옷이 고소하고 기름에쩔어잇지 않음.. 근데 육즙은또 살아있음.. 그리고 오랜만에 콘샐러드먹고싶어서 들어있는세트 찾아보다  추가주문하려는데 리뷰이벤트로 주길래 감사히냠냠	1
108	맛있게 잘먹었습니다~!	1
109	맛있어요!!!!!!	0
110	맛있어요~~~~~~	0
111	맛잇어요.  잘먹엇습니다.	0
112	역시 맛좋네요ㅋㅋ또시킹게여	0
113	맛있어요 마리최고임 장조림버터는 내수탈 아녀서 담번엔 빼고 시켜야겟음 그치만 애기들은 잘먹을맛입니다	0
114	맛잇어요 양이 생각보다 많이 적지만요 ㅋ	0
115	양도많고 맛있고 최고입니다!! 이제까지 보쌈을 이렇게 맛있게 많이 주는곳은 처음봤습니다!! 단골집등록!!	1
116	잘먹었습니다~~~!!!	0
117	매장에서 먹는 맛 그대로였어요👍👍	0
118	양도 많고 맛있네요	1
119	맛있게 잘 먹었습니다!	0
120	항상 맛있게 먹고있습니다	0
121	맛있게 잘 먹었습니다	0
122	처음으로 마리스페셜3을 주문시켜봤는게 밸런스가 좀 안맞는 거 같았어요. 고추마리가 있었어도 많이 느끼했음.. 물론 취향따라 다르긴 한데 좀 아쉬웠어요. 하지만 배부르게 잘 먹었습니다. 늘 이용하는 분식집인데 담에도 또 시킬게요.	0
123	맛 양 배달  모두  만족요...음식  받자마자  먹는데  집중하느라  사진을  놓쳤네요...ㅎㅎ	1
124	칼칼하고 양도 많고 배달 아저씨도 친철하셔네요. 단지 배달 시간이 조금더 잘 지켰으면 완벽하네요~ ((배달 예상시간보다 20분정도 늦었어요 ㅠㅠ))	0
125	잘먹었습니다	0
126	맛있었어요~~서비스로 소스 주셔서 감사합니다^^	0
127	맛있고 양도 많습니다. 추가로 시킨 계란말이는.. 비추합니다.	0
128	용인 피자집 중 토핑 1등.	1
129	123455677990877	0
130	음식 맛있게 잘 먹었습니다~!	1
131	처음 시켜봤는데 음식이 다 맛있었습니다. 근데 예상 배달시간보다 꽤 오래 걸렸고, 쫄면 맛있게 다 먹고 나서 발견한 흰색 머리카락으로 추정되는 물질 때문에 별 하나 뺐습니다ㅠ 콩나물 줄기라고 믿고 싶었는데... 아무리 봐도 흰머리 같아요ㅠ 그리고 저나 저희집에 놀러온 친구들은 아직 흰머리가 나지 않아서 저희 것 같진 않습니다... 다음엔 꼭 주의 부탁 드리겠습니다ㅠ	0
132	잘 먹었습니다 역시 너무 맛있어요	1
133	맛 그냥 그렇고.. 배달도 걍 그럭저럭... 양은 많음 ㅋㅋㅋㅋㅋㅋㅋ  근데 맛이.. 오묘하게 이상해요..돈까스가 탄냄새좀 나고 ㅠㅠ	0
134	잘 먹었어요. 배달 빠르고 좋네요	1
135	념념 굿 역시 피자는 반올림피자! 서비스 감사합니다❤️	1
136	쫄면 양 많고 맛있어요 김밥은 그럭저럭 먹을만해요	0
137	파 양도 진짜 많고 맛도 너무 좋아요 ㅎㅎ다만 제가 파를 너무 좋아해서 다음에는 더 추가해야겠어요 ㅎㅎ배달도 빨라요 다음에 또 주문하겠습니다 !!	0
138	여기 진짜 제스타일이네요....!!!! 그 콜라겐? 부분을 너무 좋아해서 앞다리라길래 엄청 좋아했는데 진짜 너무 좋아요 콜라겐 짱많음 그 물렁물렁 내사랑 족발 먹을때 여기서시킬게요 ㅋㅋㅋㅋ	1
139	사장님 제가 사장님한테 뭘 잘못했나요? 저번에 주문했을땐 돈까스 소스 빼먹으셨어요. 그건 이해합니다. 까먹을수도있죠. 아니 근데 치즈까스 시켰는데 왜 일반 돈까스가 왔을까요? 이건 이해할수가없네요. 제가 새벽에 주문하고 아침일찍 주문하고 그래서 엿먹으라고 일부러 그러시는건 아니시죠? 아침부터 괜히 기분나빠질까 가격도 동일해서 그냥 먹긴했습니다. 정말 당부드리고싶지만 주문이 들어오면 두번 세번 꼭 확인하시고 배달 보내기전에도 뭐가 안빠졌는지 꼭 확인해주세요. 부탁드립니다. 제발요	0
140	불평할수없게 맛있습니다. 아주조아용	1
141	맛있고 빠른데 쿠폰없이 먹긴 양이 조금 아쉽다.	0
142	순한맛 조정부탁드렸는데 맛있게 꼬맹이도 잘 먹었습니다 이번엔 양도 좀더 주신듯.. 잘먹었습니다.^^	0
143	양이 너무 많았습니다! (배부른 투정) 세명(여자2,남자1)이서 먹는데도 부족함이 없었습니다^^ 너무 잘먹었습니다b	0
144	양도 적당하고 맛있어요	0
145	good。	0
146	믿고 시키는 스쿨푸드. 처음으로 떡볶이 시켜봤는데 엄청 매콤하네요. 잘먹었어오~~	0
147	양도 엄청많고 완전맛있었어여ㅋㅋ 담에또시켜먹을게요!	1
148	배달도 빨랐고 맛있었어요! 간장파닭 맛있어요!	0
149	잘먹었습니다요 77ㅓ억	0
150	양많고 맛있습니다 최고	0
151	사진찍는다는걸 깜빡하고 먹느라 예쁘게 못찍었네요. 곱창라면 우선 곱창이 정말 푸짐하게 들어가서 먹는내내 입이 즐거웠어요. 면도 많이주셔서 맛있게 배부르게 먹었습니다. 돈가스는 튀김옷도 파삭파삭했고 맛도 좋았어요. ^^ 다음에 또 시킬께용^^	0
152	우리 아이들 저녁으로 시켰어요~오랫만에 자장면으로	0
153	꿀맛탱..강추강추립니다	0
154	콜라페트를 깜빡하셔서 두번이나 고생하셨지만 배달은 빨리왔어요! 무려 감자튀김이 따뜻하고 바삭한상태를 유지하고와서 맛있게 먹었습니다. (배달거리가 1.7km초과해서 배달비는 천원더드렸지만 덕분에 아깝지 않았네요.) 콜라도 새지않고 음식도 따뜻하게와서 맛있게잘먹었습니다.	0
155	할인이라고해서 먹었는데 그냥 보통 맛은 없진 않으나 옥수수맛이 그렇게 강하지도 않았어요. 그래도 오랜만에 다른 종류 치킨 먹어서 신박했습니다.	0
156	맛나고 양도 많아요!	0
157	맛있게 잘먹었습니다:)	0
158	배달도 빠르고 맛있네요~	1
159	먹을만해용 ㅎㅎㅎ!	0
160	맛있어요 빨링왔어요 굳굳	0
161	빠른배달..시국이시국인지라 문밖에 놔달라했는데..이쁘게 놓고 가셨어요. 감사합니다. 기분 나쁘시진 않으셨죠? 서로 조심하는게 좋을것 같아서..	0
162	맛있습니다 ㅎㅎㅎㅎ	1
163	순대가 생각보다 양이 많네요 잘먹었어요~	0
164	배달이 조금 늦긴 했지만 맛있었어요	0
165	치킨맛집..  bbq 양대산맥..	1
166	전반적으로 맛있었습니다	1
167	양이너무많아요정말남겼어요맛있어요	0
168	맛있게 잘 먹었습니다 특히 김말이 바삭하니 맛있어요!!	0
169	맛있어요. 좋아요. 배송이 빨라요	0
170	고기보다 다른 게 양이 너무 많아서 비율이 안 맞아서 좀 아쉽습니당 맛은 있는데 무랑 백김치가 넘 많아서 버렸어요 ㅠㅠㅠ	1
171	완 맛입니다. 단골 되어서 계속계속 방문하게 되네요. ㅋㅋㅋ	0
172	아.. 입천장이.. 너무 아파요	0
173	와..진짜 너무 맛있었어요... 사진도 못찍고 막 먹었네요 ㅠㅠ 원래 닭볶음탕 맛있어서 매번 닭볶음탕만 먹다가 찜닭 먹어봤는데 너무 맛있어요 ㅠㅠ 매운 거 잘 못먹는데도 너무 맛있어서 씁씁 거리면서 다 먹었네용.. 또 시켜먹을게요!! 맛있게 잘 먹었습니당ㅎ	0
174	맛있네요 막국수양도많아서 좋네요 재주문의사있음 :))	1
175	감튀 맛잇어용 츠천	1
176	맛잇고 빠르고 좋습니다.	1
177	치킨도 맛있고 피자도 너무 맛있어요. 다음에 또 시킬게요.	1
178	와우~! 맛집 발견~~ 따뜻하고 바삭하고 부드러워! 아이 재우고 먹으려다 다집어먹어버렸네요~ 너무맛있었어요!!	1
179	역시보쌈은원할머니!	0
180	잘먹었습니다. 역시 맛있네요	1
181	뿌링클 ㄱㅊ음 양도 적당...!!	0
182	1인분 치고 비싸지 않나? 하고 시켰는데 받아보니 아~ 하게 되네요. 밤, 은행, 단호박 등 각종 재료 빵빵하게 들어있어요. 엄마 김치랑 먹으니 집밥 먹는 느낌. 남은 국물에 밥도 비벼먹었는데 개인적으론 조금 단 것 같아요.	0
183	배달도 빠르고 맛있어요~!	0
184	빠른 시간에 잘 받았어요 빵 영양정보도 같이주셔서 감사요~^^	0
185	음식 받아야 할 주소를 본가로 바꿨는데 클릭이 안됐는지  서울 친구집으로 되어 있었고  그 이유로 음식도 못받은 상태로 전액 환불 요청 하시길래  그냥 내일 음식 찾으러 가기로 했습니다  리뷰 확인하시는 분들은 이 글 보고 이런 실수 하지 마세요 주의 하세요  전부 소비자 부담 입니다  원래 주소를 따로 설정해놓고 그 지역 외에 다른 지역으로 주소 설정이 되어 있으면 주문을 못하도록 개선이 됐으면 좋겠네요	0
186	치즈 맛을 느낄 수 있어서 괜찮았어용	0
187	먹을만해요 ㅋㅋㅋ	0
188	배달도 안늦게 오고 음식 잘 받아서 맛있게 먹고있습니다	0
189	맛있고 빠르고 좋습니다.	1
190	맛은 있지만  불친절하고 배달 하는 사람이   고객의 집 현관문 을 야박하게 두드려서  기분이 좋지않았습니다  너무 오래 기다리니까요  피곤해서 잠이 와서 잤는데  야박하게   현관문 을 야박하게 두드려서 어머니께서   화가나셔서 저의기분이많이안좋아서  다음 부터는 시키지 않겠습니다	0
191	피자가 밀린건 배달대행 업체 잘못입니다. 하지만 피자 치즈 자체도 스테이크 육즙으로 인해 다 분해가 되서 왔네요.. 저부분은 피자가 아니라 곤죽이라 말해도 될정도...;; 스테이크 피자라 기대했는데 이 메뉴는 다시는 안시켜먹을거같네요	0
192	배달 빠릅니다. 맛 좋습니다. 양 많습니다. 돈 아깝지 않습니다. 이 집 음식 아주 잘합니다.	1
193	콘듀존맛....! 부드러운 순살이라 넘 맛있게 먹었어용 소스도 존맛....최고	0
194	정식이랑 김치찌개에 밥은 하나...	0
195	전반적으로 별로였습니다	1
196	존맛탱 가격은 살인적이지만 계속 시켜먹게 된당	0
197	뭐 그럭저럭 잘먹었어요~~~	1
198	맛있게 잘 먹었습니다 :)	1
199	정말 맛있고 다음에도 시켜먹을거같네요 ㅎㅎ	0
200	찜닭먹었는데 맛있었어요 당면대신 닭고기가많으면 더좋을듯	0
201	맛은 있는데 양이 좀 적었어요 잘먹었습니다	1
202	맛있고 빠르고 좋습니다	1
203	보쌈만 먹으면 느끼할뻔했는데 같이온 백김치랑 같이 먹으니까 진짜 깔끔하게 맛있었어요!!	1
204	너무 맛있게 잘 먹었습니다	1
205	파파이스는 치킨이나 버거도 맛있는데 감튀도 참 맛있음	1
206	양이 많았습니다. 배달도 빨랐고 후라이며 양은 정말 많았습니다	0
207	배달도 빠르고 맛있어요! 서비스 김말이도 챙겨주셔셔 배불리 잘 먹었습니다^^	0
208	좀 싱겁게 먹는 편이라 그런지 닭이 조금 짰어요ㅠㅠㅜ 가족들이 다 짜다 그래서 조금 마음이 아팠고, 전체적으로 맛이 없는 편은 아니었어서 다음에 시키게 된다면 다른 메뉴를 시킬 것 같네요..! 영양 궁중찜닭이래서 뭐가 많이 들어있는 줄 알았는데 그렇지는 않았던 것 같아요. 일반 찜닭에 은행 조금 들어가있는 정도...?	0
209	맛 배달 양 모두 만점입니다. 특히 막국수 양이 살인적이네요	1
210	배송도 빠르고 바삭한 치킨	0
211	그냥평범한중국집맛이에요	0
212	피자는 여기서만 시키고 항상 맛있게 먹어요ㅎㅎ입맛 까다로운 아부지도 잘 드시고요ㅎㅎ 다만 페퍼로니는 첨 시켰는디 쪼~끔 비추^^;; 다른건 다 맛있었어요	1
213	오랜만에 시켜 먹네요 맛있게 잘먹었습니다ㅎ	1
214	밤식빵 작은거 나와서 너무 좋아요!!! 항상 다 못먹었는데ㅠ이번엔 다먹을수 있어요!	0
215	아니 원래 피자박스 테이프 안붙여서 왔었나요? 왜 테이프가 안붙어있죠	0
216	언제먹어도꿀맛.  A+++	0
217	맛과 양은 무난했으나 배달이 예상시간버다 20분 넘은 80분이나 걸렸습니다. 차라리 처음부터 90분으로 해주세요	0
218	양 많고 맛도 괜찮습니다.	0
219	별 기대없이 시켰는데 맛있네요 막국수도 맛이ㅆ어요	1
220	맛있슙니다!  간짜장이 증말 맛있었어요!	0
221	항상먹는 닭볶음탕 맛집 꼭 시켜드세요~~!!!	0
222	빅박스 늘 맛있게 잘 먹고 있습니다. 치즈스틱 주신 것도 감사합니다.	1
223	맛있는 파닭파닭입니다.	0
224	배달도빠르고 역시맛잇어요^^양도많고 좋아용	0
225	배달도 빠르고 맛있어요~	0
226	진짜 양도 많고 맛있어욥!!!	0
227	맛있었어요 배송도빠르고	0
228	실수로 주문을 잘못하긴햇는데 ...  양두많고 다못머ㄱ고ㅋㅋ 너무 맛있게잘먹었습니당~~	1
229	친구들하고 먹다가 다맛있다고 했어요 다음에도 먹을게요	0
230	잘먹었습니다........	0
231	양도 적당하고 맛있어요	1
232	it was delicious. love this place	0
233	따뜻하게 빨리 배달해 주시고 요청사항도 잘 반영해 주셔서 맛있게 먹었습니다!	1
234	맛남~~~~~~~~~~	0
235	ㅎㅎㅎㅎㅎㅎ 최고에용	0
236	맛있어요! 다음에 또 시켜먹을게요	0
237	깔끔하고 내용물도 먹기좋게 좋았습니다	0
238	언제나 만족합니다. 감사합니다.	1
239	레몬소스변경이 누락되었지만 맛있게 잘 먹었습니다.	1
240	배달도 빠르고 떡순이모듬은 순대랑 만두가 따로 담겨오니까 훨씬 깔끔하게 먹을 수 있어요!	0
241	파파이스 좋아요♥️♥️♥️	1
242	콩나물국밥이 제가 생각하는 전주식콩나물국밥? 그런식의 국밥이아니고 예전 학교 급식에서 먹던 김치콩나물국 같은 국이었어요 맛은 나쁘지않아요 다만 뚝배기에 보글보글 끓구있는 국밥을 생각하신다면 그 국밥은 아니예요 그래도 콩나물을 좋아해서 맛있게먹었어요 다른메뉴야 말안해도 엄지척__)b	0
243	마시뜸 야끼만두가 좀 좋네	0
244	맛있걱 잘 먹었어요	0
245	빨리 오고 맛있는데 리뷰이벤트 주먹밥이 빠져서 왔네요	1
246	맛잇게 잘 먹엇습니다	0
247	자주가는 롯데리아.. 요즘 코로나 땜에 첨으로 배달했네요	0
248	맛있게 잘 먹었습니당~~~	1
249	비빔밥 너무 맛있어요!!	0
250	짱짱맛있어요  배달도빨리오고 단골하겠어요 너무마싰으니깐♡	1
251	깔끔하고 맛있어서 자주 시켜먹고 있어요 감사합니다	0
252	사진은 없지만 이사 온 후에 이곳 저곳 시켜봤는데 여기가 최고네요. 지금 상태로 변하지 않아서 오래 이용 하고 싶네요 ㅎ	0
253	맛도 양도 배달 소요 시간도 다 최고입니다.또 주문할께요	0
254	배달 빨라 넘 좋아요!	0
